upc,description,cost,normal_price,special_price,specialcost,pricemethod,groupprice,quantity,start_date,end_date,departmentId,sectionId,vendorId,pack,size,tax,fee,foodstamp,scale,active,wicable,validage,PLU,UnitOfMeasure,case_cost,QuantityOnHand,dept_name,section_name,vendor_name,tareweight,linkedUpc,expiration_date,cert_code,deleted,HideFromECommerce,discount,LowInventoryAlert,ReOrderQuantity,ProductCode,EPlumLabelFormatNo,EPlumDeptNo,ScaleByCount,ECommerceId,ECommercePackWeight,ECommercePrice,ECommerceSalePrice,ECommerceOnSale,ECommerceUnitDescription,ECommerceDescription,ECommerceSummary,CasScaleIngredients,CasScaleNutrition,CasScalePluType
8906021124003,Aachi chicken 65 masala 100g,2.0000,2.9900,,,,,,,,185,,14,,,,,False,False,True,,,,,,17.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1540,,,,,,,,,,
8906021124010,Aachi Chili Chicken Msl 100g,1.7300,2.7900,,,,,,,,185,,14,,,,,False,False,True,,,,,,20.0000,Spice Mix,,Vadilal,,,,,False,False,1,1,,,,,False,1541,,,,,,,,,,
8906021124065,Aachi Dhal Rice pwd 100g,2.4900,2.7900,,,,,,,,185,,,,,,,False,False,True,0,,,,,2.0000,Spice Mix,,,,,,,False,False,1,1,,,,,False,1542,,,,,,,,,,
8906021124072,Aachi Egg Curry Masala 100g,2.0000,2.9900,,,,,,,,185,,14,,,,,False,False,True,,,,,,20.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1543,,,,,,,,,,
8906021124096,Aachi Fish Curry Masala 100g,1.6200,2.7900,,,,,,,,185,,14,,,,,False,False,True,,,,,,19.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1544,,,,,,,,,,
8906021124102,Aachi Fish Fry Masala 100g,2.0000,2.9900,,,,,,,,185,,14,,,,,False,False,True,,,,,,17.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1545,,,,,,,,,,
8906021124119,Aachi Garam Msl 100g,2.4900,2.7900,,,,,,,,185,,,,,,,False,False,True,0,,,,,0.0000,Spice Mix,,,,,,,False,False,1,1,,,,,False,1546,,,,,,,,,,
8906021124140,Aachi Idli Chili pwd 100g,2.4900,2.7900,,,,,,,,185,,,,,,,False,False,True,0,,,,,21.0000,Spice Mix,,,,,,,False,False,1,4,,,,,False,1547,,,,,,,,,,
8906021124171,Aachi Kulambu Chilli Masala 100g,1.6200,2.7900,,,,,,,,185,,14,,,,,False,False,True,,,,,,19.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1548,,,,,,,,,,
8906021124225,Aachi Lemon Rice powder 100g,1.6200,2.7900,,,,,,,,185,,14,,,,,False,False,True,,,,,,22.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1549,,,,,,,,,,
8906021124263,Aachi Rasam powder 100g,2.0600,2.9900,,,,,,,,185,,14,,,,,False,False,True,0,,,,,21.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1550,,,,,,,,,,
8906021124270,Aachi Sambar pwd 100g,1.7300,2.7900,,,,,,,,185,,14,,,,,False,False,True,0,,,,,20.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1551,,,,,,,,,,
8906021124287,Aachi Chukku malli kappi 100g,1.6200,2.7900,,,,,,,,187,,14,,,,,False,False,True,,,,,,17.0000,Tea & Coffee,,Vadilal,,,,,False,False,1,4,,,,,False,1552,,,,,,,,,,
8906021124294,Aachi Puliyodharai Rice powder 100g,1.6200,2.7900,,,,,,,,205,,14,,,,,False,False,True,,,,,,20.0000,Ready To Eat,,Vadilal,,,,,False,False,1,4,,,,,False,1553,,,,,,,,,,
8906021124300,Aachi Tomato Rice Powder 100g,1.6200,2.7900,,,,,,,,205,,14,,,,,False,False,True,,,,,,18.0000,Ready To Eat,,Vadilal,,,,,False,False,1,4,,,,,False,1554,,,,,,,,,,
8906021124324,Aachi Vathakulambu Masala 100g,2.0000,2.9900,,,,,,,,185,,14,,,,,False,False,True,,,,,,20.0000,Spice Mix,,Vadilal,,,,,False,False,1,4,,,,,False,1555,,,,,,,,,,
